"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
0.764,-12.4802829778454,-11.952049221894,-4.59903497836136,-3.11155697321889
0.766,-12.582750901435,-12.0728304326837,-4.55962930119983,-3.11256847400173
0.768,-12.6866682385001,-12.1947627853207,-4.52086927763123,-3.1137729341475
0.77,-12.7920460743771,-12.3178552169858,-4.48275639415726,-3.11516248348897
0.772,-12.8988957967429,-12.4421169140979,-4.44529172091999,-3.11672925244894
0.774,-13.0072290880036,-12.5675573054803,-4.40847593711969,-3.11846537624769
0.776,-13.1170579148582,-12.6941860529572,-4.372309355646,-3.12036299897205
0.778,-13.2283945146788,-12.8220130390612,-4.33679194692942,-3.12241427750451
0.78,-13.3412513783094,-12.9510483514911,-4.30192336202227,-3.12461138531103
0.782,-13.455641228833,-13.0813022639187,-4.26770295492057,-3.1269465160868
0.784,-13.5715769958061,-13.2127852126945,-4.23412980413989,-3.12941188725944
0.786,-13.6890717843956,-13.345507768946,-4.20120273356001,-3.13199974334967
0.788,-13.8081388387875,-13.4794806055055,-4.16892033255435,-3.13470235918959
0.79,-13.928791499158,-13.6147144580297,-4.13728097542155,-3.1375120429995
0.792,-14.0510431514126,-13.7512200796054,-4.10628284013747,-3.14042113932415
0.794,-14.1749071688033,-13.889008188041,-4.0759239264468,-3.14342203182965
0.796,-14.300396844424,-14.0280894049556,-4.04620207331403,-3.14650714596302
0.798,-14.4275253134669,-14.1684741856648,-4.01711497575453,-3.14966895147601
0.8,-14.5563054639855,-14.3101727387463,-3.98866020106649,-3.15289996481568
0.802,-14.6867498347605,-14.4531949340318,-3.96083520448525,-3.15619275138412
0.804,-14.8188704986982,-14.5975501976272,-3.93363734428164,-3.15953992767019
0.806,-14.9526789300043,-14.7432473923914,-3.90706389632632,-3.16293416325616
0.808,-15.0881858531681,-14.890294682127,-3.88111206814228,-3.1663681827027
0.81,-15.2254010715651,-15.0386993775255,-3.85577901246761,-3.16983476731548
0.812,-15.3643332732306,-15.188467761688,-3.83106184035088,-3.17332675679722
0.814,-15.5049898110789,-15.3396048927924,-3.80695763380158,-3.17683705078894
0.816,-15.6473764545364,-15.4921143812021,-3.78346345801772,-3.18035861030463
0.818,-15.7914971092207,-15.645998138013,-3.76057637321308,-3.18388445906334
0.82,-15.9373535009352,-15.8012560917073,-3.73829344606624,-3.18740768472338
0.822,-16.0849448198544,-15.9578858692273,-3.71661176081343,-3.19092144002298
0.824,-16.234267320353,-16.1158824373995,-3.69552843000761,-3.1944189438323
0.826,-16.3853138714861,-16.2752377002314,-3.67504060496535,-3.1978934821215
0.828,-16.5380734526559,-16.4359400471702,-3.65514548592371,-3.20133840885011
0.83,-16.6925305885174,-16.597973846962,-3.63584033192875,-3.20474714678275
0.832,-16.8486647166873,-16.7613188812883,-3.61712247047749,-3.2081131882365
0.834,-17.0064494813358,-16.925949711889,-3.59898930693481,-3.21143009576553
0.836,-17.1658519452941,-17.0918349744363,-3.58143833374706,-3.21469150278844
0.838,-17.3268317129094,-17.2589365919994,-3.56446713947373,-3.21789111416423
0.84,-17.4893399555745,-17.4272089005898,-3.54807341765873,-3.22102270672263
0.842,-17.6533183316863,-17.5965976790082,-3.53225497556284,-3.22408012975507
0.844,-17.8186977928116,-17.7670390751008,-3.5170097427787,-3.22705730547237
0.846,-17.9853972681276,-17.9384584206064,-3.50233577975001,-3.22994822943565
0.848,-18.1533222198582,-18.1107689271328,-3.48823128621643,-3.23274697096695
0.85,-18.3223630635532,-18.2838702565187,-3.47469460960601,-3.23544767354643
0.852,-18.4923934487984,-18.4576469600325,-3.46172425339701,-3.23804455520309
0.854,-18.6632683984647,-18.6319667826731,-3.44931888547096,-3.24053190890629
0.856,-18.8348223080949,-18.8066788314175,-3.4374773464795,-3.24290410296529
0.858,-19.0068668117088,-18.981611609811,-3.42619865824731,-3.24515558144483
0.86,-19.1791885264282,-19.1565709260109,-3.41548203223392,-3.24728086460442
0.862,-19.3515466961291,-19.3313376875195,-3.40532687807774,-3.24927454936981
0.864,-19.5236707640929,-19.5056656036136,-3.39573281224569,-3.25113130984509
0.866,-19.6952579165742,-19.6792788261381,-3.38669966681254,-3.25284589787443
0.868,-19.8659706535065,-19.8518695710892,-3.37822749839447,-3.25441314366281
0.87,-20.0354344593027,-20.0230957774234,-3.37031659726186,-3.25582795646533
0.872,-20.203235665759,-20.1925788758241,-3.3629674966572,-3.25708532535537
0.874,-20.3689196200902,-20.3599017586085,-3.35618098234428,-3.2581803200823
0.876,-20.5319892933869,-20.5246070621784,-3.34995810241605,-3.25910809202973
0.878,-20.691904487148,-20.6861958946747,-3.34430017738903,-3.25986387528627
0.88,-20.8480818162668,-20.8441271626337,-3.33920881061317,-3.26044298784093
0.882,-20.9998956636033,-20.9978176697587,-3.33468589902708,-3.26084083291645
0.884,-21.1466803110647,-21.146643176127,-3.33073364428945,-3.26105290045397
0.886,-21.2877334513484,-21.2899406143643,-3.32735456431899,-3.26107476876393
0.888,-21.422321269241,-21.4270116571146,-3.32455150527582,-3.26090210635825
0.89,-21.5496852476438,-21.5571278137764,-3.32232765401937,-3.26053067398032
0.892,-21.6690507979393,-21.6795372002918,-3.32068655107842,-3.25995632684995
0.894,-21.7796377348786,-21.7934730706886,-3.31963210417115,-3.25917501714162
0.896,-21.8806725130415,-21.898164121343,-3.31916860231423,-3.25818279671557
0.898,-21.9714020183801,-21.992846478971,-3.31930073056181,-3.25697582012255
0.9,-22.051108571452,-22.0767771645549,-3.32003358541721,-3.25555034790405
0.902,-22.1191256596883,-22.1492486946831,-3.3213726909619,-3.25390275021193
0.904,-22.174853788901,-22.2096043497543,-3.32332401574844,-3.25202951077221
0.906,-22.2177757457573,-22.2572535189415,-3.32589399050622,-3.24992723121998
0.908,-22.247470509541,-22.2916864403204,-3.32908952671123,-3.24759263583397
0.91,-22.2636250566309,-22.3124876064712,-3.33291803607308,-3.24502257670143
0.912,-22.2660433723315,-22.3193471135355,-3.33738745099561,-3.24221403934577
0.914,-22.2546521214586,-22.3120693019789,-3.34250624606935,-3.23916414885208
0.916,-22.2295026216978,-22.2905781693244,-3.34828346065739,-3.23587017652775
0.918,-22.1907689940754,-22.2549192194698,-3.35472872263854,-3.23232954713823
0.92,-22.1387426087757,-22.2052576326696,-3.36185227337496,-3.2285398467606
